date,value
2024-07-01,579.0
2024-07-02,566.0
2024-07-03,526.0
2024-07-04,590.0
2024-07-05,699.0
2024-07-06,473.0
2024-07-07,435.0
2024-07-08,484.0
2024-07-09,519.0
2024-07-10,498.0
2024-07-11,522.0
2024-07-12,418.0
2024-07-13,3224.0
2024-07-14,514.0
2024-07-15,527.0
2024-07-16,998.0
2024-07-17,864.0
2024-07-18,950.0
2024-07-19,1125.0
2024-07-20,785.0
2024-07-21,747.0
2024-07-22,817.0
2024-07-23,751.0
2024-07-24,686.0
2024-07-25,578.0
2024-07-26,483.0
2024-07-27,446.0
2024-07-28,421.0
2024-07-29,459.0
2024-07-30,454.0
2024-07-31,452.0
2024-08-01,394.0
2024-08-02,393.0
2024-08-03,352.0
2024-08-04,408.0
2024-08-05,404.0
2024-08-06,383.0
2024-08-07,419.0
2024-08-08,384.0
2024-08-09,366.0
2024-08-10,300.0
2024-08-11,366.0
2024-08-12,386.0
2024-08-13,503.0
2024-08-14,495.0
2024-08-15,463.0
2024-08-16,678.0
2024-08-17,962.0
2024-08-18,2474.0
2024-08-19,1810.0
2024-08-20,971.0
2024-08-21,606.0
2024-08-22,508.0
2024-08-23,493.0
2024-08-24,596.0
2024-08-25,760.0
2024-08-26,1308.0
2024-08-27,2072.0
2024-08-28,1004.0
2024-08-29,716.0
2024-08-30,921.0
2024-08-31,568.0
2024-09-01,511.0
2024-09-02,524.0
2024-09-03,829.0
2024-09-04,761.0
2024-09-05,1285.0
2024-09-06,1925.0
2024-09-07,1217.0
2024-09-08,1206.0
2024-09-09,2178.0
2024-09-10,7631.0
2024-09-11,12262.0
2024-09-12,3501.0
2024-09-13,2434.0
2024-09-14,2346.0
2024-09-15,3038.0
2024-09-16,1832.0
2024-09-17,1478.0
2024-09-18,1747.0
2024-09-19,1864.0
2024-09-20,1219.0
2024-09-21,867.0
2024-09-22,907.0
2024-09-23,1058.0
2024-09-24,2470.0
2024-09-25,2589.0
2024-09-26,2014.0
2024-09-27,1223.0
2024-09-28,964.0
2024-09-29,973.0
2024-09-30,922.0
2024-10-01,910.0
2024-10-02,1357.0
2024-10-03,1111.0
2024-10-04,1135.0
2024-10-05,843.0
2024-10-06,976.0
2024-10-07,823.0
2024-10-08,915.0
2024-10-09,752.0
2024-10-10,764.0
2024-10-11,4272.0
2024-10-12,3118.0
2024-10-13,1506.0
2024-10-14,1319.0
2024-10-15,2445.0
2024-10-16,3540.0
2024-10-17,2269.0
2024-10-18,1808.0
2024-10-19,1650.0
2024-10-20,1417.0
2024-10-21,1483.0
2024-10-22,1441.0
2024-10-23,1419.0
2024-10-24,2312.0
2024-10-25,5330.0
2024-10-26,7342.0
2024-10-27,6403.0
2024-10-28,5166.0
2024-10-29,3518.0
2024-10-30,2918.0
2024-10-31,2424.0
2024-11-01,2047.0
2024-11-02,2700.0
2024-11-03,3135.0
2024-11-04,4702.0
2024-11-05,7175.0
2024-11-06,18965.0
2024-11-07,24038.0
2024-11-08,28524.0
2024-11-09,24058.0
2024-11-10,14118.0
2024-11-11,12362.0
2024-11-12,11563.0
2024-11-13,8473.0
2024-11-14,6907.0
2024-11-15,5746.0
2024-11-16,3867.0
2024-11-17,3486.0
2024-11-18,3472.0
2024-11-19,3542.0
2024-11-20,4022.0
2024-11-21,3314.0
2024-11-22,2698.0
2024-11-23,3212.0
2024-11-24,2467.0
2024-11-25,2743.0
2024-11-26,31808.0
2024-11-27,17582.0
2024-11-28,9234.0
2024-11-29,6269.0
2024-11-30,5757.0
2024-12-01,6033.0
2024-12-02,4834.0
2024-12-03,4621.0
2024-12-04,3688.0
2024-12-05,2808.0
2024-12-06,2173.0
2024-12-07,1622.0
2024-12-08,1956.0
2024-12-09,2499.0
2024-12-10,2354.0
2024-12-11,2591.0
2024-12-12,2608.0
2024-12-13,2656.0
2024-12-14,1960.0
2024-12-15,1615.0
2024-12-16,2129.0
2024-12-17,2242.0
2024-12-18,1911.0
2024-12-19,1570.0
2024-12-20,1411.0
2024-12-21,994.0
2024-12-22,886.0
2024-12-23,927.0
2024-12-24,850.0
2024-12-25,735.0
2024-12-26,991.0
2024-12-27,1025.0
2024-12-28,1017.0
2024-12-29,932.0
2024-12-30,1016.0
2024-12-31,987.0
2025-01-01,883.0
2025-01-02,943.0
2025-01-03,1005.0
2025-01-04,891.0
2025-01-05,740.0
2025-01-06,1454.0
2025-01-07,2059.0
2025-01-08,2478.0
2025-01-09,2013.0
2025-01-10,1581.0
2025-01-11,1183.0
2025-01-12,1129.0
2025-01-13,1702.0
2025-01-14,2085.0
2025-01-15,3011.0
2025-01-16,2532.0
2025-01-17,2423.0
2025-01-18,2025.0
2025-01-19,1935.0
2025-01-20,4409.0
2025-01-21,11591.0
2025-01-22,8568.0
2025-01-23,6442.0
2025-01-24,6195.0
2025-01-25,3924.0
2025-01-26,7484.0
2025-01-27,13422.0
2025-01-28,9909.0
2025-01-29,6595.0
2025-01-30,5060.0
2025-01-31,20731.0
2025-02-01,42079.0
2025-02-02,80598.0
2025-02-03,73589.0
2025-02-04,36864.0
2025-02-05,17616.0
2025-02-06,7912.0
2025-02-07,3628.0
2025-02-08,2473.0
2025-02-09,2354.0
2025-02-10,5128.0
2025-02-11,4557.0
2025-02-12,2693.0
2025-02-13,2900.0
2025-02-14,2945.0
2025-02-15,1795.0
2025-02-16,1789.0
2025-02-17,1823.0
2025-02-18,1684.0
2025-02-19,1706.0
2025-02-20,1634.0
2025-02-21,1462.0
2025-02-22,1340.0
2025-02-23,1139.0
2025-02-24,1464.0
2025-02-25,1611.0
2025-02-26,1644.0
2025-02-27,2684.0
2025-02-28,2827.0
2025-03-01,1643.0
2025-03-02,1682.0
2025-03-03,4184.0
2025-03-04,20587.0
2025-03-05,22570.0
2025-03-06,13826.0
2025-03-07,10250.0
2025-03-08,6822.0
2025-03-09,4739.0
2025-03-10,5951.0
2025-03-11,10761.0
2025-03-12,15699.0
2025-03-13,10356.0
2025-03-14,4875.0
2025-03-15,2871.0
2025-03-16,2993.0
2025-03-17,2963.0
2025-03-18,2515.0
2025-03-19,2361.0
2025-03-20,2391.0
2025-03-21,2249.0
2025-03-22,1509.0
2025-03-23,1619.0
2025-03-24,2168.0
2025-03-25,2112.0
2025-03-26,2658.0
2025-03-27,4769.0
2025-03-28,3588.0
2025-03-29,2486.0
2025-03-30,2823.0
2025-03-31,4477.0
2025-04-01,6257.0
2025-04-02,21760.0
2025-04-03,60673.0
2025-04-04,39247.0
2025-04-05,25761.0
2025-04-06,20115.0
2025-04-07,27759.0
2025-04-08,26773.0
2025-04-09,38228.0
2025-04-10,24119.0
2025-04-11,16279.0
2025-04-12,9964.0
2025-04-13,7698.0
2025-04-14,7954.0
2025-04-15,6457.0
2025-04-16,5999.0
2025-04-17,5056.0
2025-04-18,3692.0
2025-04-19,2818.0
2025-04-20,2489.0
2025-04-21,3017.0
2025-04-22,3084.0
2025-04-23,3042.0
2025-04-24,2965.0
2025-04-25,2630.0
2025-04-26,1687.0
2025-04-27,1654.0
2025-04-28,2204.0
2025-04-29,2727.0
2025-04-30,2879.0
2025-05-01,2704.0
2025-05-02,2506.0
2025-05-03,2038.0
2025-05-04,1947.0
2025-05-05,3565.0
2025-05-06,2815.0
2025-05-07,2875.0
2025-05-08,2483.0
2025-05-09,2129.0
2025-05-10,1633.0
2025-05-11,1552.0
2025-05-12,2348.0
2025-05-13,2047.0
2025-05-14,1768.0
2025-05-15,1626.0
2025-05-16,1490.0
2025-05-17,1131.0
2025-05-18,1244.0
2025-05-19,1510.0
2025-05-20,1328.0
2025-05-21,1293.0
2025-05-22,1147.0
2025-05-23,1546.0
2025-05-24,1285.0
2025-05-25,1078.0
2025-05-26,1210.0
2025-05-27,1201.0
2025-05-28,1050.0
2025-05-29,1764.0
2025-05-30,1634.0
2025-05-31,1397.0
2025-06-01,1122.0
2025-06-02,1229.0
2025-06-03,1207.0
2025-06-04,1305.0
2025-06-05,1165.0
2025-06-06,984.0
2025-06-07,897.0
2025-06-08,844.0
2025-06-09,912.0
2025-06-10,932.0
2025-06-11,988.0
2025-06-12,973.0
2025-06-13,837.0
2025-06-14,590.0
2025-06-15,584.0
2025-06-16,857.0
2025-06-17,751.0
2025-06-18,776.0
2025-06-19,750.0
2025-06-20,778.0
2025-06-21,614.0
2025-06-22,620.0
2025-06-23,717.0
2025-06-24,588.0
2025-06-25,692.0
2025-06-26,579.0
2025-06-27,757.0
2025-06-28,606.0
2025-06-29,535.0
2025-06-30,666.0
2025-07-01,616.0
2025-07-02,781.0
2025-07-03,711.0
2025-07-04,722.0
2025-07-05,539.0
2025-07-06,575.0
2025-07-07,1025.0
2025-07-08,2028.0
2025-07-09,1714.0
2025-07-10,1962.0
2025-07-11,1724.0
2025-07-12,1524.0
2025-07-13,1133.0
2025-07-14,1375.0
2025-07-15,1228.0
2025-07-16,1121.0
2025-07-17,955.0
2025-07-18,840.0
2025-07-19,599.0
2025-07-20,636.0
2025-07-21,963.0
2025-07-22,1076.0
2025-07-23,2270.0
2025-07-24,1148.0
2025-07-25,894.0
2025-07-26,749.0
2025-07-27,1033.0
2025-07-28,1714.0
2025-07-29,1459.0
2025-07-30,3015.0
2025-07-31,4405.0
2025-08-01,5346.0
2025-08-02,2444.0
2025-08-03,1709.0
2025-08-04,1959.0
2025-08-05,2125.0
2025-08-06,3754.0
2025-08-07,6963.0
2025-08-08,4126.0
2025-08-09,2234.0
2025-08-10,1913.0
2025-08-11,2117.0
2025-08-12,1975.0
2025-08-13,1549.0
2025-08-14,1294.0
2025-08-15,1160.0
2025-08-16,1063.0
2025-08-17,1100.0
2025-08-18,1040.0
2025-08-19,1001.0
2025-08-20,1050.0
2025-08-21,1028.0
2025-08-22,856.0
2025-08-23,767.0
2025-08-24,836.0
